Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,dom_distance_from_root,has_href,is_image,image_src,Selector
title,h2,3292,,"{'id': '3292', 'style': 'font-family: throndale, sans-serif;'}",art international volume iii/5-6 1959,37,5,6,0,div,0,2,0,[],8,False,False,,"[id=""3292""]"
title,h2,1924,,"{'id': '1924', 'style': 'font-family: throndale, sans-serif;'}",portugal,8,1,0,0,div,0,3,0,[],8,False,False,,"[id=""1924""]"
title,h2,2432,,"{'id': '2432', 'style': 'font-family: throndale, sans-serif;'}",phädra - tragödie von gabriele d'annunzi ...,44,7,0,0,div,0,2,0,[],8,False,False,,"[id=""2432""]"
title,h2,6253,,"{'id': '6253', 'style': 'font-family: throndale, sans-serif;'}",henri matisse - musée des beaux-arts luc ...,44,8,0,0,div,0,2,0,[],8,False,False,,"[id=""6253""]"
title,h2,3641,,"{'id': '3641', 'style': 'font-family: throndale, sans-serif;'}",trevi scultura e grafica 1950-1986 caste ...,44,7,8,0,div,0,2,0,[],8,False,False,,"[id=""3641""]"
title,h2,6885,,"{'id': '6885', 'style': 'font-family: throndale, sans-serif;'}",vincent van gogh zeichnungen,28,4,0,0,div,0,2,0,[],8,False,False,,"[id=""6885""]"
title,h2,3420,,"{'id': '3420', 'style': 'font-family: throndale, sans-serif;'}",die frühmittelalterliche und romanische  ...,44,5,0,0,div,0,2,0,[],8,False,False,,"[id=""3420""]"
title,h2,11498,,"{'id': '11498', 'style': 'font-family: throndale, sans-serif;'}",controspazio - mensile di architettura e ...,44,7,0,0,div,0,2,0,[],8,False,False,,"[id=""11498""]"
title,h2,11497,,"{'id': '11497', 'style': 'font-family: throndale, sans-serif;'}",controspazio: n° 4-5 aprile maggio 1970  ...,44,7,6,0,div,0,2,0,[],8,False,False,,"[id=""11497""]"
title,h2,11496,,"{'id': '11496', 'style': 'font-family: throndale, sans-serif;'}","controspazio: n° 4 ottobre 1973 ""piero b ...",44,8,5,0,div,0,2,0,[],8,False,False,,"[id=""11496""]"
title,h2,11495,,"{'id': '11495', 'style': 'font-family: throndale, sans-serif;'}",controspazio: n°1-6 gennaio - dicembre 1 ...,44,7,3,0,div,0,2,0,[],8,False,False,,"[id=""11495""]"
title,h2,11494,,"{'id': '11494', 'style': 'font-family: throndale, sans-serif;'}",controspazio: n°5-6 settembre-dicembre 1 ...,44,5,3,0,div,0,2,0,[],8,False,False,,"[id=""11494""]"
title,h2,11493,,"{'id': '11493', 'style': 'font-family: throndale, sans-serif;'}",giacometti derrière le miroir n° 39-40 j ...,44,8,4,0,div,0,2,0,[],8,False,False,,"[id=""11493""]"
title,h2,11492,,"{'id': '11492', 'style': 'font-family: throndale, sans-serif;'}",giacometti mai 1961 - derrière le miroir ...,44,8,4,0,div,0,2,0,[],8,False,False,,"[id=""11492""]"
title,h2,11491,,"{'id': '11491', 'style': 'font-family: throndale, sans-serif;'}",melancholie strahova / 5 original lithog ...,44,7,1,0,div,0,2,0,[],8,False,False,,"[id=""11491""]"
price,h1,,,{'style': ''},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""3292_id""] > div > h1"
price,h1,,w3-hide-large new-arrivals,{'class': 'w3-hide-large new-arrivals'},New Arrivals,12,2,0,0,div,0,6,0,[],5,False,False,,body > div.w3-main:nth-of-type(3) > header > div.w3-container > h1.w3-hide-large.new-arrivals
price,h1,,w3-center w3-text-red,{'class': 'w3-center w3-text-red'},CART IS EMPTY,13,3,0,0,form,1,3,2,['b'],5,False,False,,"[id=""id01""] > form.modal-content > h1.w3-center.w3-text-red"
price,h1,,,{},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""1924_id""] > div:nth-of-type(2) > h1"
price,h1,,,{'style': ''},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""2432_id""] > div > h1"
price,h1,,,{'style': ''},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""6253_id""] > div > h1"
price,h1,,,{'style': ''},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""3641_id""] > div > h1"
price,h1,,,{},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""6885_id""] > div > h1"
price,h1,,,{'style': ''},SOLD,4,1,0,0,div,0,0,0,[],9,False,False,,"[id=""3420_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",45 Chf,6,2,2,0,div,0,0,0,[],9,False,False,,"[id=""11498_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",60 Chf,6,2,2,0,div,0,0,0,[],9,False,False,,"[id=""11497_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",45 Chf,6,2,2,0,div,0,0,0,[],9,False,False,,"[id=""11496_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif;'}",75 Chf,6,2,2,0,div,0,0,0,[],9,False,False,,"[id=""11495_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",35 Chf,6,2,2,0,div,0,0,0,[],9,False,False,,"[id=""11494_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",7250 Chf,8,2,4,0,div,0,0,0,[],9,False,False,,"[id=""11493_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",4750 Chf,8,2,4,0,div,0,0,0,[],9,False,False,,"[id=""11492_id""] > div > h1"
price,h1,,,"{'style': 'font-family: throndale, sans-serif'}",750 Chf,7,2,3,0,div,0,0,0,[],9,False,False,,"[id=""11491_id""] > div > h1"
image,img,,,"{'src': '/media/images/Henri_Matisse_-_Musé8100.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected', 'style': ''}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/Henri_Matisse_-_Musé8100.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(4) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,w3-animate-opacity w3-hover-border,"{'class': 'w3-animate-opacity w3-hover-border', 'src': '/static/img/delete.png', 'alt': 'cross', 'data-selector-highlight': 'selected'}",,0,0,0,0,span,0,0,0,[],6,False,True,/static/img/delete.png,"[id=""id01""] > form.modal-content > span.close > img.w3-animate-opacity.w3-hover-border"
image,img,,,"{'src': '/media/images/ART_International_Vo6650.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected', 'style': ''}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/ART_International_Vo6650.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(1) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/Portugal6560.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/Portugal6560.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(2) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/PHÄDRA_-_Tragödie_vo1690.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/PHÄDRA_-_Tragödie_vo1690.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(3) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/TREVI_Scultura_e_gra9520.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected', 'style': ''}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/TREVI_Scultura_e_gra9520.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(5) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
image,img,,,"{'src': '/media/images/Vincent_van_Gogh_Zei5150.jpg', 'onerror': ""if (this.src !== '/media/default.png') this.src = '/media/default.png';"", 'alt': 'Image', 'data-selector-highlight': 'selected'}",,0,0,0,0,div,0,0,0,[],8,False,True,/media/images/Vincent_van_Gogh_Zei5150.jpg,body > div.w3-main:nth-of-type(4) > div.w3-row-padding.w3-animate-opacity:nth-of-type(1) > div.spacing.w3-container.w3-margin-bottom:nth-of-type(6) > div.w3-container.grid-container.w3-center.w3-padding-16 > a > div.img-hover-zoom.img-hover-zoom--slowmo.image-container:nth-of-type(1) > img
