Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,0,0,0,3,6.666666666666667,20,3,3,0,62.79000000000002,12,0,0,0,0,0,8,1,0,0,0,25
title,0,0,0,2,6.5,26,4,1,0,54.72500000000002,12,0,0,0,0,0,8,1,0,0,0,20
title,0,0,0,2,7.333333333333333,22,3,0,0,62.79000000000002,12,0,0,0,0,0,8,1,0,0,0,23
title,0,0,0,2,6.5,26,4,1,0,54.72500000000002,12,0,0,0,0,0,8,1,0,0,0,17
title,0,0,0,2,6.5,26,4,1,0,54.72500000000002,12,0,0,0,0,0,8,1,0,0,0,14
title,0,0,0,3,6.846153846153846,89,13,5,0,59.745000000000005,12,0,0,0,0,0,8,1,0,0,0,11
title,0,0,0,3,6.461538461538462,84,13,0,0,45.64500000000001,12,0,0,0,0,0,8,1,0,0,0,9
title,0,0,0,3,7.5,15,2,0,0,35.60500000000002,12,0,0,0,0,0,8,1,0,0,0,6
title,0,0,0,2,10.0,10,1,0,0,-47.97999999999996,12,0,0,0,0,0,8,1,0,0,0,3
title,0,0,0,2,4.0,8,2,0,0,120.20500000000001,12,0,0,0,0,0,8,1,0,0,0,1
price,7,0,1,2,3.6666666666666665,11,3,2,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,0
price,7,0,1,1,3.6666666666666665,11,3,2,0,90.99000000000004,7,2,8,7,2,1,8,0,0,0,0,24
price,7,0,1,1,4.0,12,3,3,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,19
price,7,0,1,1,4.0,12,3,3,0,90.99000000000004,7,2,8,7,2,1,8,0,0,0,0,22
price,7,0,1,1,4.0,12,3,3,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,16
price,7,0,1,1,4.0,12,3,3,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,13
price,7,0,1,1,4.0,12,3,3,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,10
price,7,0,1,1,3.6666666666666665,11,3,2,0,90.99000000000004,7,2,9,8,2,1,8,0,0,0,0,8
price,7,0,1,1,3.6666666666666665,11,3,2,0,90.99000000000004,7,2,8,7,2,1,8,0,0,0,0,5
price,7,0,1,1,3.6666666666666665,11,3,2,0,90.99000000000004,7,2,8,7,2,1,8,0,0,0,0,2
image,19,0,0,5,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,15
image,19,0,0,4,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,26
image,19,0,0,4,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,21
image,19,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,29
image,19,0,0,5,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,18
image,19,0,0,4,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,12
image,19,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,28
image,19,0,0,5,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,7
image,19,0,0,4,0,0,0,0,0,0,7,0,2,1,0,2,7,0,0,1,1,4
image,19,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,27
other,18,0,0,2,8.899809160305344,9327,1048,481,0,34.88559387565729,39,2,0,0,2,0,0,0,0,0,0,30
other,36,0,0,0,5.0,10,2,0,0,120.20500000000001,16,0,18,12,0,4,2,0,0,0,0,30
other,4,0,0,1,7.303763440860215,5434,744,285,0,45.565195261650615,18,11,1,1,2,1,1,0,0,0,0,30
other,7,1,0,1,7.095890410958904,5180,730,284,0,47.97509495641347,4,7,10,0,1,2,2,0,0,0,0,30
other,7,1,0,2,6.258064516129032,194,31,11,0,43.08000000000001,7,4,6,0,2,1,3,0,0,0,0,30
other,7,1,0,1,0,0,0,0,0,0,7,1,3,0,1,2,4,0,0,0,0,30
other,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,5,1,0,0,0,30
other,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,30
other,7,1,0,1,6.454545454545454,71,11,0,0,19.100000000000023,7,2,3,1,2,2,4,0,0,0,0,30
other,10,1,0,1,7.333333333333333,22,3,0,0,34.59000000000003,7,0,1,0,0,1,5,0,0,0,0,30
other,7,1,0,2,5.75,46,8,0,0,17.44500000000002,7,2,1,1,2,1,5,0,0,0,0,30
other,0,0,0,2,0,0,0,0,0,0,7,1,1,0,1,1,6,1,0,0,0,30
other,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,30
other,5,0,0,0,0,0,0,0,0,0,7,0,1,1,0,1,6,0,0,0,0,30
other,7,1,0,2,5.8,116,20,11,0,63.86250000000001,7,2,3,2,1,2,4,0,0,0,0,30
other,7,0,1,1,5.8,116,20,11,0,63.86250000000001,7,1,1,1,1,0,5,0,0,0,0,30
other,27,0,0,0,5.8,116,20,11,0,63.86250000000001,7,1,0,0,1,0,6,0,0,0,0,30
other,31,0,0,1,5.8,116,20,11,0,63.86250000000001,27,1,0,0,1,0,7,0,0,0,0,30
other,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,8,0,0,0,0,30
other,9,0,1,4,0,0,0,0,0,0,7,3,3,3,2,1,4,0,0,0,0,30
other,5,0,0,0,0,0,0,0,0,0,9,0,2,2,0,1,5,0,0,0,0,30
other,7,1,0,1,6.636363636363637,73,11,0,0,34.160909090909115,7,2,6,1,1,1,3,0,0,0,0,30
other,7,1,0,1,6.636363636363637,73,11,0,0,34.160909090909115,7,2,1,0,2,0,4,0,0,0,0,30
other,7,1,0,1,0,0,0,0,0,0,7,1,1,0,1,1,5,0,0,0,0,30
other,0,0,0,2,0,0,0,0,0,0,7,1,0,0,1,0,6,1,0,0,0,30
other,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,30
other,38,0,0,0,6.636363636363637,73,11,0,0,34.160909090909115,7,8,1,1,1,1,5,0,0,0,0,30
other,22,1,0,1,5.0,5,1,0,0,36.62000000000003,38,1,7,0,1,1,6,0,0,0,0,30
other,30,0,0,0,5.0,5,1,0,0,36.62000000000003,22,0,0,0,0,0,7,0,0,0,0,30
other,22,0,0,0,7.0,7,1,0,0,121.22000000000003,38,1,7,1,1,1,6,0,0,0,0,30
other,0,0,0,1,7.0,7,1,0,0,121.22000000000003,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,1,8.5,17,2,0,0,-6.694999999999993,38,1,7,2,1,1,6,0,0,0,0,30
other,0,0,0,1,8.5,17,2,0,0,-6.694999999999993,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,0,6.0,12,2,0,0,-6.694999999999993,38,1,7,3,1,1,6,0,0,0,0,30
other,0,0,0,1,6.0,12,2,0,0,-6.694999999999993,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,1,2.5,5,2,0,0,120.20500000000001,38,1,7,4,1,1,6,0,0,0,0,30
other,0,0,0,1,2.5,5,2,0,0,120.20500000000001,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,0,7.0,7,1,0,0,36.62000000000003,38,1,7,5,1,1,6,0,0,0,0,30
other,0,0,0,1,7.0,7,1,0,0,36.62000000000003,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,0,5.0,5,1,0,0,121.22000000000003,38,1,7,6,1,1,6,0,0,0,0,30
other,0,0,0,1,5.0,5,1,0,0,121.22000000000003,22,0,0,0,0,0,7,1,0,0,0,30
other,22,0,0,0,8.0,8,1,0,0,-47.97999999999996,38,1,7,7,1,1,6,0,0,0,0,30
other,0,0,0,1,8.0,8,1,0,0,-47.97999999999996,22,0,0,0,0,0,7,1,0,0,0,30
other,7,1,0,2,7.085925925925926,4783,675,269,0,48.904683251767295,7,7,6,3,1,1,3,0,0,0,0,30
other,7,1,1,3,6.921686746987952,1149,166,18,0,20.090000000000032,7,2,6,0,2,1,4,0,0,0,0,30
other,10,0,0,1,9.0,9,1,0,0,-47.97999999999996,7,0,1,0,0,1,5,0,0,0,0,30
other,7,1,0,2,6.890909090909091,1137,165,18,0,20.939999999999998,7,1,1,1,1,1,5,0,0,0,0,30
other,38,1,0,2,6.890909090909091,1137,165,18,0,20.939999999999998,7,55,0,0,1,0,6,0,0,0,0,30
other,22,0,1,2,5.333333333333333,16,3,0,0,-47.97999999999996,38,1,54,0,1,1,7,0,0,0,0,30
other,0,0,0,1,5.333333333333333,16,3,0,0,-47.97999999999996,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,2,6.5,26,4,0,0,34.59000000000003,38,1,54,1,1,1,7,0,0,0,0,30
other,0,0,0,1,6.5,26,4,0,0,34.59000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.75,23,4,0,0,90.99000000000004,38,1,54,2,1,1,7,0,0,0,0,30
other,0,0,0,1,5.75,23,4,0,0,90.99000000000004,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,2,6.25,25,4,0,0,62.79000000000002,38,1,54,3,1,1,7,0,0,0,0,30
other,0,0,0,2,6.25,25,4,0,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,2,5.666666666666667,34,6,0,0,54.72500000000002,38,1,54,4,1,1,7,0,0,0,0,30
other,0,0,0,2,5.666666666666667,34,6,0,0,54.72500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.8,29,5,0,0,6.390000000000015,38,1,54,5,1,1,7,0,0,0,0,30
other,0,0,0,1,5.8,29,5,0,0,6.390000000000015,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.333333333333333,16,3,0,0,35.60500000000002,38,1,54,6,1,1,7,0,0,0,0,30
other,0,0,0,1,5.333333333333333,16,3,0,0,35.60500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,9.0,9,1,0,0,36.62000000000003,38,1,54,7,1,1,7,0,0,0,0,30
other,0,0,0,1,9.0,9,1,0,0,36.62000000000003,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,11.0,22,2,0,0,-48.994999999999976,38,1,54,8,1,1,7,0,0,0,0,30
other,0,0,0,1,11.0,22,2,0,0,-48.994999999999976,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,7.333333333333333,22,3,0,0,35.60500000000002,38,1,54,9,1,1,7,0,0,0,0,30
other,0,0,0,1,7.333333333333333,22,3,0,0,35.60500000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.333333333333333,16,3,4,0,90.99000000000004,38,1,54,10,1,1,7,0,0,0,0,30
other,0,0,0,1,5.333333333333333,16,3,4,0,90.99000000000004,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,5.333333333333333,16,3,4,0,90.99000000000004,38,1,54,11,1,1,7,0,0,0,0,30
other,0,0,0,1,5.333333333333333,16,3,4,0,90.99000000000004,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,4.2,21,5,0,0,62.79000000000002,38,1,54,12,1,1,7,0,0,0,0,30
other,0,0,0,1,4.2,21,5,0,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,7.0,21,3,4,0,62.79000000000002,38,1,54,13,1,1,7,0,0,0,0,30
other,0,0,0,1,7.0,21,3,4,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,7.0,21,3,4,0,62.79000000000002,38,1,54,14,1,1,7,0,0,0,0,30
other,0,0,0,1,7.0,21,3,4,0,62.79000000000002,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.333333333333333,19,3,0,0,-91.29499999999996,38,1,54,15,1,1,7,0,0,0,0,30
other,0,0,0,1,6.333333333333333,19,3,0,0,-91.29499999999996,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,6.6,33,5,0,0,6.390000000000015,38,1,54,16,1,1,7,0,0,0,0,30
other,0,0,0,1,6.6,33,5,0,0,6.390000000000015,22,0,0,0,0,0,8,1,0,0,0,30
other,22,0,1,1,12.0,12,1,0,0,-217.17999999999998,38,1,54,17,1,1,7,0,0,0,0,30
