Category,tag,parent_tag,gparent_tag,ggparent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,is_price_format,text_density,reading_ease,has_href,is_image
title,a,h3,div,div,0,0,8,,,40,5,6,0,40.0,54.72500000000002,1,0
title,a,h3,div,div,0,0,8,,,19,4,2,0,19.0,118.17500000000001,1,0
title,a,h3,div,div,0,0,8,,,28,4,3,0,28.0,97.025,1,0
title,a,h3,div,div,0,0,8,,,85,13,3,0,85.0,88.905,1,0
title,a,h3,div,div,0,0,8,,,39,5,3,0,39.0,66.40000000000003,1,0
title,a,h3,div,div,0,0,8,,,12,2,3,0,12.0,120.20500000000001,1,0
title,a,h3,div,div,0,0,8,,,11,2,4,0,11.0,120.20500000000001,1,0
title,a,h3,div,div,0,0,8,,,9,2,4,0,9.0,120.20500000000001,1,0
title,a,h3,div,div,0,0,8,,,20,3,2,0,20.0,34.59000000000003,1,0
title,a,h3,div,div,0,0,8,,,19,4,2,0,19.0,118.17500000000001,1,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
image,img,a,div,div,0,0,8,picgrp pw-selected,pic82303,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic72170,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic72112,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic83557,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic72436,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic75320,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic83315,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic81667,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic79818,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic39140,0,0,0,0,0.0,0.0,0,1
