Category,tag,parent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,has_currency_symbol,is_price_format,text_density,reading_ease,has_href,is_image
title,a,h3,0,0,8,,,16,3,0,0,0,16.0,90.99000000000004,1,0
title,a,h3,0,0,8,,,22,3,0,0,0,22.0,62.79000000000002,1,0
title,a,h3,0,0,8,,,18,4,0,0,0,18.0,97.025,1,0
title,a,h3,0,0,8,,,45,9,4,0,0,45.0,98.8675,1,0
title,a,h3,0,0,8,,,21,2,0,0,0,21.0,77.90500000000002,1,0
title,a,h3,0,0,8,,,91,15,1,0,0,91.0,84.9157142857143,1,0
title,a,h3,0,0,8,,,91,15,1,0,0,91.0,84.9157142857143,1,0
title,a,h3,0,0,8,,,91,15,1,0,0,91.0,84.9157142857143,1,0
title,a,h3,0,0,8,,,15,2,0,0,0,15.0,77.90500000000002,1,0
title,a,h3,0,0,8,,,10,1,0,0,0,10.0,-47.97999999999996,1,0
title,a,h3,0,0,8,,,53,8,0,0,0,53.0,115.13000000000002,1,0
title,a,h3,0,0,8,,,45,5,0,0,0,45.0,117.16000000000003,1,0
title,a,h3,0,0,8,,,54,6,0,0,0,54.0,117.16000000000003,1,0
title,a,h3,0,0,8,,,45,5,0,0,0,45.0,117.16000000000003,1,0
title,a,h3,0,0,8,,,45,5,0,0,0,45.0,117.16000000000003,1,0
title,a,h3,0,0,8,,,48,6,0,0,0,48.0,117.16000000000003,1,0
title,a,h3,0,0,8,,,29,3,0,0,0,29.0,119.19000000000003,1,0
title,a,h3,0,0,8,,,20,3,0,0,0,20.0,62.79000000000002,1,0
title,a,h3,0,0,8,,,41,7,0,0,0,41.0,87.94500000000002,1,0
title,a,h3,0,0,8,,,50,4,0,0,0,50.0,-72.17499999999998,1,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,6,2,3,0,0,6.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,6,2,3,0,0,6.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
price,span,div,0,1,9,,,5,2,2,0,0,5.0,120.20500000000001,0,0
image,img,div,0,3,7,pw-selected,,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025345,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025344,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025343,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025342,0,0,0,0,0,0.0,0.0,0,1
image,img,div,0,3,7,pw-selected,,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025341,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025340,0,0,0,0,0,0.0,0.0,0,1
image,img,div,0,3,7,pw-selected,,0,0,0,0,0,0.0,0.0,0,1
image,img,div,0,3,7,pw-selected,,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025339,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025338,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025337,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025336,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025335,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025334,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025333,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025332,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025330,0,0,0,0,0,0.0,0.0,0,1
image,img,a,0,0,8,picgrp pw-selected,pic1025331,0,0,0,0,0,0.0,0.0,0,1
other,html,root,2,0,0,,,13907,1656,578,0,1,11.999137187230371,46.61195285161361,0,0
other,head,html,14,1,1,,,4797,502,281,0,1,319.8,15.35785714285717,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,meta,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,link,head,0,13,2,,,0,0,0,0,0,0.0,0.0,1,0
other,title,head,0,13,2,,,19,2,0,0,0,19.0,-133.59499999999997,0,0
other,style,head,0,13,2,,,248,33,18,0,0,248.0,49.48400000000001,0,0
other,script,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,script,head,0,13,2,,,0,0,0,0,0,0.0,0.0,0,0
other,script,head,0,13,2,,,441,18,6,0,0,441.0,-307.86999999999995,0,0
other,style,head,0,13,2,,,4078,449,257,0,1,4078.0,24.656924316067204,0,0
other,body,html,9,1,1,,,9100,1154,297,0,0,7.961504811898513,50.9385787166961,0,0
other,div,body,9,8,2,,wrap,8553,1130,293,0,0,7.663978494623656,52.115193000144046,0,0
other,div,div,0,8,3,,header-top,0,0,0,0,0,0.0,0.0,0,0
other,div,div,2,8,3,,header-main,19,2,0,0,0,3.1666666666666665,-133.59499999999997,0,0
other,a,div,1,1,4,,logo,19,2,0,0,0,9.5,-133.59499999999997,1,0
other,h1,a,0,0,5,,logo-text,19,2,0,0,0,19.0,-133.59499999999997,0,0
