Category,tag,parent_tag,gparent_tag,ggparent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,is_price_format,text_density,reading_ease,has_href,is_image
title,a,h3,div,div,0,0,9,,,31,5,4,0,31.0,75.87500000000001,1,0
title,a,h3,div,div,0,0,9,,,35,5,0,0,35.0,83.32000000000004,1,0
title,a,h3,div,div,0,0,9,,,10,1,0,0,10.0,-132.57999999999996,1,0
title,a,h3,div,div,0,0,9,,,64,9,11,0,64.0,75.50000000000003,1,0
title,a,h3,div,div,0,0,9,,,15,2,0,0,15.0,35.60500000000002,1,0
price,strong,p,div,div,0,0,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,strong,p,div,div,0,0,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,strong,p,div,div,0,0,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,strong,p,div,div,0,0,9,,,7,2,4,1,7.0,120.20500000000001,0,0
price,strong,p,div,div,0,0,9,,,6,2,3,1,6.0,120.20500000000001,0,0
image,img,a,div,div,0,0,11,pw-selected,,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,11,pw-selected,,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,11,pw-selected,,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,11,pw-selected,,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,11,pw-selected,,0,0,0,0,0.0,0.0,0,1
