Category,tag,parent_tag,gparent_tag,ggparent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,is_price_format,text_density,reading_ease,has_href,is_image
title,a,h3,div,div,0,0,8,,,42,5,0,0,42.0,100.24000000000002,1,0
title,a,h3,div,div,0,0,8,,,91,17,0,0,91.0,68.9825,1,0
title,a,h3,div,div,0,0,8,,,30,4,0,0,30.0,54.72500000000002,1,0
title,a,h3,div,div,0,0,8,,,18,2,0,0,18.0,35.60500000000002,1,0
title,a,h3,div,div,0,0,8,,,16,2,0,0,16.0,35.60500000000002,1,0
title,a,h3,div,div,0,0,8,,,4,1,0,0,4.0,36.62000000000003,1,0
title,a,h3,div,div,0,0,8,,,47,7,1,0,47.0,82.42535714285715,1,0
title,a,h3,div,div,0,0,8,,,7,1,0,0,7.0,121.22000000000003,1,0
title,a,h3,div,div,0,0,8,,,29,6,0,0,29.0,87.94500000000002,1,0
title,a,h3,div,div,0,0,8,,,13,2,0,0,13.0,35.60500000000002,1,0
title,a,h3,div,div,0,0,8,,,9,2,0,0,9.0,35.60500000000002,1,0
title,a,h3,div,div,0,0,8,,,17,3,0,0,17.0,62.79000000000002,1,0
title,a,h3,div,div,0,0,8,,,25,4,0,0,25.0,54.72500000000002,1,0
title,a,h3,div,div,0,0,8,,,8,2,0,0,8.0,120.20500000000001,1,0
title,a,h3,div,div,0,0,8,,,25,3,0,0,25.0,90.99000000000004,1,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50826,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50823,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50945,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50908,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50926,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50922,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50919,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50928,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50930,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50932,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50934,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50936,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50938,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50940,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic50942,0,0,0,0,0.0,0.0,0,1
