Category,tag,parent_tag,gparent_tag,ggparent_tag,num_children,num_siblings,dom_depth,class_str,id_str,text_len,text_word_count,text_digit_count,is_price_format,text_density,reading_ease,has_href,is_image
title,a,h3,div,div,0,0,8,,,14,3,0,0,14.0,34.59000000000003,1,0
title,a,h3,div,div,0,0,8,,,16,3,0,0,16.0,62.79000000000002,1,0
title,a,h3,div,div,0,0,8,,,19,3,0,0,19.0,90.99000000000004,1,0
title,a,h3,div,div,0,0,8,,,16,3,0,0,16.0,62.79000000000002,1,0
title,a,h3,div,div,0,0,8,,,27,3,0,0,27.0,-21.809999999999945,1,0
title,a,h3,div,div,0,0,8,,,18,3,0,0,18.0,34.59000000000003,1,0
title,a,h3,div,div,0,0,8,,,42,6,0,0,42.0,73.84500000000001,1,0
title,a,h3,div,div,0,0,8,,,70,10,0,0,70.0,61.32500000000002,1,0
title,a,h3,div,div,0,0,8,,,16,3,0,0,16.0,62.79000000000002,1,0
title,a,h3,div,div,0,0,8,,,33,5,0,0,33.0,49.48000000000002,1,0
title,a,h3,div,div,0,0,8,,,13,2,0,0,13.0,-6.694999999999993,1,0
title,a,h3,div,div,0,0,8,,,32,5,0,0,32.0,66.40000000000003,1,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,6,2,3,1,6.0,120.20500000000001,0,0
price,span,div,div,div,0,1,9,,,5,2,2,1,5.0,120.20500000000001,0,0
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213971,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213972,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213973,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213974,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213975,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213976,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213977,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213978,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213979,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213980,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213981,0,0,0,0,0.0,0.0,0,1
image,img,a,div,div,0,0,8,picgrp pw-selected,pic213982,0,0,0,0,0.0,0.0,0,1
