Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,0,0,0,3,4.5,9,2,0,0,77.90500000000002,12,0,0,0,0,0,9,1,0,0,0,1
title,0,0,0,7,5.0,30,6,0,0,75.87500000000001,12,0,0,0,0,0,9,1,0,0,0,3
title,0,0,0,2,6.0,18,3,0,0,90.99000000000004,12,0,0,0,0,0,9,1,0,0,0,5
title,0,0,0,2,5.875,47,8,0,0,30.53000000000003,12,0,0,0,0,0,9,1,0,0,0,7
title,0,0,0,2,6.0,12,2,0,0,77.90500000000002,12,0,0,0,0,0,9,1,0,0,0,9
title,0,0,0,2,5.0,15,3,1,0,-6.694999999999993,12,0,0,0,0,0,9,1,0,0,0,11
title,0,0,0,2,5.0,5,1,0,0,121.22000000000003,12,0,0,0,0,0,9,1,0,0,0,13
title,0,0,0,2,6.0,12,2,0,0,35.60500000000002,12,0,0,0,0,0,9,1,0,0,0,15
title,0,0,0,2,6.6,33,5,0,0,54.72500000000002,12,0,0,0,0,0,9,1,0,0,0,17
title,0,0,0,2,4.666666666666667,14,3,0,0,90.99000000000004,12,0,0,0,0,0,9,1,0,0,0,19
title,0,0,0,2,6.0,30,5,0,0,66.40000000000003,12,0,0,0,0,0,9,1,0,0,0,21
title,0,0,0,2,4.2,21,5,2,0,97.025,12,0,0,0,0,0,9,1,0,0,0,23
title,0,0,0,2,7.0,21,3,0,0,62.79000000000002,12,0,0,0,0,0,9,1,0,0,0,25
title,0,0,0,2,6.4,32,5,0,0,75.87500000000001,12,0,0,0,0,0,9,1,0,0,0,27
title,0,0,0,2,4.75,19,4,0,0,97.025,12,0,0,0,0,0,9,1,0,0,0,29
title,0,0,0,2,5.5,11,2,0,0,120.20500000000001,12,0,0,0,0,0,9,1,0,0,0,31
title,0,0,0,2,5.8,29,5,0,0,83.32000000000004,12,0,0,0,0,0,9,1,0,0,0,33
title,0,0,0,2,5.333333333333333,32,6,2,0,66.40000000000003,12,0,0,0,0,0,9,1,0,0,0,35
price,7,0,1,2,3.0,6,2,3,0,120.20500000000001,7,0,1,0,0,1,10,0,0,0,0,2
price,7,0,1,1,3.0,6,2,3,0,120.20500000000001,7,0,1,0,0,1,10,0,0,0,0,4
