Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,0,0,1,3,7.666666666666667,23,3,0,0,6.390000000000015,13,0,0,0,0,0,15,1,1,0,0,89
title,0,0,1,3,5.5,77,14,0,0,90.95857142857145,13,0,0,0,0,0,15,1,1,0,0,93
title,0,0,1,3,6.25,25,4,1,0,75.87500000000001,13,0,0,0,0,0,15,1,1,0,0,95
title,0,0,1,3,5.5,22,4,1,0,97.025,13,0,0,0,0,0,15,1,1,0,0,97
title,0,0,1,3,6.8,68,10,4,0,61.32500000000002,13,0,0,0,0,0,15,1,1,0,0,99
title,0,0,1,3,8.666666666666666,26,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,101
title,0,0,1,3,5.75,23,4,0,0,97.025,13,0,0,0,0,0,15,1,1,0,0,103
title,0,0,1,3,7.0,14,2,0,0,-48.994999999999976,13,0,0,0,0,0,15,1,1,0,0,105
title,0,0,1,3,8.0,16,2,0,0,35.60500000000002,13,0,0,0,0,0,15,1,1,0,0,107
title,0,0,1,3,6.0,36,6,1,0,45.64500000000001,13,0,0,0,0,0,15,1,1,0,0,91
title,0,0,1,5,5.0,20,4,0,0,75.87500000000001,13,0,0,0,0,0,15,1,1,0,0,1
title,0,0,1,5,7.0,14,2,0,0,77.90500000000002,13,0,0,0,0,0,15,1,1,0,0,15
title,0,0,1,4,5.5,11,2,0,0,77.90500000000002,13,0,0,0,0,0,15,1,1,0,0,9
title,0,0,1,5,4.0,8,2,0,0,120.20500000000001,13,0,0,0,0,0,15,1,1,0,0,3
title,0,0,1,4,7.666666666666667,23,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,7
title,0,0,1,4,5.666666666666667,17,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,11
title,0,0,1,4,5.333333333333333,16,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,5
title,0,0,1,4,5.5,44,8,0,0,71.81500000000001,13,0,0,0,0,0,15,1,1,0,0,17
title,0,0,1,4,7.0,42,6,1,0,32.56000000000003,13,0,0,0,0,0,15,1,1,0,0,13
title,0,0,1,4,6.0,18,3,0,0,90.99000000000004,13,0,0,0,0,0,15,1,1,0,0,19
title,0,0,1,4,5.571428571428571,39,7,2,0,54.70142857142861,13,0,0,0,0,0,15,1,1,0,0,33
title,0,0,1,4,6.0,30,5,0,0,66.40000000000003,13,0,0,0,0,0,15,1,1,0,0,27
title,0,0,1,4,7.0,14,2,0,0,-6.694999999999993,13,0,0,0,0,0,15,1,1,0,0,21
title,0,0,1,4,4.5,9,2,0,0,77.90500000000002,13,0,0,0,0,0,15,1,1,0,0,25
title,0,0,1,4,8.0,24,3,8,0,119.19000000000003,13,0,0,0,0,0,15,1,1,0,0,29
title,0,0,1,4,6.4,32,5,0,0,66.40000000000003,13,0,0,0,0,0,15,1,1,0,0,23
title,0,0,1,4,6.666666666666667,20,3,0,0,119.19000000000003,13,0,0,0,0,0,15,1,1,0,0,35
title,0,0,1,4,8.333333333333334,25,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,31
title,0,0,1,4,5.8,29,5,1,0,83.32000000000004,13,0,0,0,0,0,15,1,1,0,0,53
title,0,0,1,4,9.0,27,3,0,0,34.59000000000003,13,0,0,0,0,0,15,1,1,0,0,67
title,0,0,1,4,8.333333333333334,25,3,4,0,90.99000000000004,13,0,0,0,0,0,15,1,1,0,0,61
title,0,0,1,4,5.25,21,4,0,0,75.87500000000001,13,0,0,0,0,0,15,1,1,0,0,55
title,0,0,1,4,6.5,13,2,0,0,77.90500000000002,13,0,0,0,0,0,15,1,1,0,0,59
