Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,0,0,0,2,5.666666666666667,51,9,4,0,103.70000000000002,26,0,0,0,0,0,9,1,0,0,0,4
title,0,0,0,2,7.666666666666667,46,6,0,0,59.745000000000005,26,1,0,0,1,0,9,1,0,0,0,25
title,0,0,0,2,8.25,33,4,0,0,54.72500000000002,26,1,0,0,1,0,9,1,0,0,0,28
title,0,0,0,2,7.6,38,5,0,0,-29.87499999999997,26,1,0,0,1,0,9,1,0,0,0,31
title,0,0,0,1,11.25,45,4,0,0,75.87500000000001,26,0,0,0,0,0,9,1,0,0,0,34
title,0,0,0,2,8.4,42,5,0,0,49.48000000000002,26,1,0,0,1,0,9,1,0,0,0,37
title,0,0,0,1,5.363636363636363,59,11,8,0,95.165,26,0,0,0,0,0,9,1,0,0,0,40
title,0,0,0,1,6.571428571428571,46,7,8,0,59.745000000000005,26,1,0,0,1,0,9,1,0,0,0,43
title,0,0,0,1,8.166666666666666,49,6,0,0,73.84500000000001,26,1,0,0,1,0,9,1,0,0,0,46
title,0,0,0,1,8.666666666666666,26,3,0,0,62.79000000000002,26,1,0,0,1,0,9,1,0,0,0,7
title,0,0,0,2,6.25,50,8,0,0,40.09,26,1,0,0,1,0,9,1,0,0,0,10
title,0,0,0,1,7.857142857142857,55,7,0,0,78.87285714285717,26,1,0,0,1,0,9,1,0,0,0,13
title,0,0,0,1,7.75,31,4,0,0,33.57500000000002,26,1,0,0,1,0,9,1,0,0,0,16
title,0,0,0,1,6.2,31,5,0,0,83.32000000000004,26,1,0,0,1,0,9,1,0,0,0,19
title,0,0,0,1,8.5,17,2,0,0,77.90500000000002,26,1,0,0,1,0,9,1,0,0,0,22
price,29,0,0,1,4.0,8,2,3,0,120.20500000000001,6,0,0,0,0,0,9,0,0,0,0,35
price,29,0,1,1,6.5,13,2,0,0,77.90500000000002,6,0,1,0,0,1,5,0,0,0,0,1
