Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,3,0,0,1,5.571428571428571,39,7,0,0,90.95857142857145,9,0,6,0,0,2,43,0,0,0,0,7
title,3,0,0,1,8.285714285714286,58,7,0,0,78.87285714285717,9,0,1,0,0,1,39,0,0,0,0,11
title,3,0,0,1,6.166666666666667,74,12,0,0,89.97500000000002,9,0,0,0,0,0,39,0,0,0,0,15
title,3,0,0,0,5.5,11,2,0,0,36.62000000000003,9,0,6,0,0,3,43,0,0,0,0,16
title,3,0,0,1,5.2,52,10,0,0,94.30000000000001,9,0,5,0,0,3,43,0,0,0,0,12
title,3,0,0,0,6.5,13,2,0,0,77.90500000000002,9,0,6,2,0,2,43,0,0,0,0,8
title,3,0,0,0,8.2,41,5,0,0,83.32000000000004,9,0,4,0,0,2,43,0,0,0,0,0
title,3,0,0,1,6.75,54,8,0,0,103.54,9,0,0,0,0,0,39,0,0,0,0,3
title,3,0,0,1,9.0,36,4,0,0,-8.724999999999994,9,0,6,0,0,2,43,0,0,0,0,5
price,9,0,0,4,7.758620689655173,225,29,11,0,63.11261904761906,36,2,0,0,2,0,38,0,0,0,0,10
price,9,0,0,4,12.833333333333334,539,42,16,0,92.73482142857145,36,8,0,0,3,0,38,0,0,0,0,14
price,9,0,0,4,8.473282442748092,1110,131,35,0,68.32928751576296,36,11,0,0,3,0,38,0,0,0,0,18
price,9,0,0,4,10.220338983050848,603,59,30,0,53.592697368421085,36,7,0,0,3,0,42,0,0,0,0,4
price,9,0,0,3,9.428571428571429,198,21,10,0,72.59196428571431,36,2,0,0,2,0,38,0,0,0,0,2
image,22,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,1,17
image,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,1,13
image,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,1,9
image,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,1,1
image,22,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1,1,6
other,20,0,0,0,53.44739583333333,102619,1920,586,0,53.38231711032782,42,2,0,0,2,0,0,0,0,0,0,19
other,39,0,0,0,26.0,26,1,0,0,-217.17999999999998,18,0,6,3,0,2,2,0,0,0,0,19
other,4,0,0,4,59.56019358741682,98453,1653,420,0,57.67511152312713,20,2,1,1,2,1,1,0,0,0,0,19
other,7,0,0,1,57.38559322033898,94801,1652,420,0,57.69895910488984,4,2,1,0,2,1,2,0,0,0,0,19
other,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,1,3,0,0,0,0,19
other,34,0,0,7,57.38559322033898,94801,1652,420,0,57.69895910488984,7,1,1,1,1,1,3,0,0,0,0,19
other,35,0,0,0,57.38559322033898,94801,1652,420,0,57.69895910488984,34,1,0,0,1,0,4,0,0,0,0,19
other,40,0,0,3,57.38559322033898,94801,1652,420,0,57.69895910488984,35,1,0,0,1,0,5,0,0,0,0,19
other,36,0,0,3,57.38559322033898,94801,1652,420,0,57.69895910488984,40,1,0,0,1,0,6,0,0,0,0,19
other,34,0,0,7,57.38559322033898,94801,1652,420,0,57.69895910488984,36,1,0,0,1,0,7,0,0,0,0,19
other,35,0,0,0,57.38559322033898,94801,1652,420,0,57.69895910488984,34,1,0,0,1,0,8,0,0,0,0,19
other,40,0,0,3,57.38559322033898,94801,1652,420,0,57.69895910488984,35,1,0,0,1,0,9,0,0,0,0,19
other,36,0,0,3,57.38559322033898,94801,1652,420,0,57.69895910488984,40,1,0,0,1,0,10,0,0,0,0,19
other,8,0,0,1,57.38559322033898,94801,1652,420,0,57.69895910488984,36,3,0,0,1,0,11,0,0,0,0,19
other,34,0,0,8,94.8,474,5,0,0,32.56000000000003,8,1,2,0,1,1,12,0,0,0,0,19
other,35,0,0,0,94.8,474,5,0,0,32.56000000000003,34,1,0,0,1,0,13,0,0,0,0,19
other,40,0,0,1,94.8,474,5,0,0,32.56000000000003,35,1,0,0,1,0,14,0,0,0,0,19
other,36,0,0,1,94.8,474,5,0,0,32.56000000000003,40,2,0,0,1,0,15,0,0,0,0,19
other,34,0,0,8,0,0,0,0,0,0,36,1,1,0,1,1,16,0,0,0,0,19
other,35,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,17,0,0,0,0,19
other,40,0,0,2,0,0,0,0,0,0,35,1,0,0,1,0,18,0,0,0,0,19
other,36,0,0,2,0,0,0,0,0,0,40,0,0,0,0,0,19,0,0,0,0,19
other,34,0,0,8,94.8,474,5,0,0,32.56000000000003,36,1,1,1,1,1,16,0,0,0,0,19
other,35,0,0,0,94.8,474,5,0,0,32.56000000000003,34,1,0,0,1,0,17,0,0,0,0,19
other,40,0,0,2,94.8,474,5,0,0,32.56000000000003,35,3,0,0,1,0,18,0,0,0,0,19
other,36,0,0,3,0,0,0,0,0,0,40,1,2,0,1,1,19,0,0,0,0,19
other,8,0,0,1,0,0,0,0,0,0,36,1,0,0,1,0,20,0,0,0,0,19
other,34,0,0,8,0,0,0,0,0,0,8,1,0,0,1,0,21,0,0,0,0,19
other,35,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,22,0,0,0,0,19
other,40,0,0,2,0,0,0,0,0,0,35,1,0,0,1,0,23,0,0,0,0,19
other,36,0,0,1,0,0,0,0,0,0,40,1,0,0,1,0,24,0,0,0,0,19
other,8,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,25,0,0,0,0,19
other,36,0,0,3,94.8,474,5,0,0,32.56000000000003,40,1,2,1,1,1,19,0,0,0,0,19
other,34,0,0,8,94.8,474,5,0,0,32.56000000000003,36,1,0,0,1,0,20,0,0,0,0,19
other,35,0,0,0,94.8,474,5,0,0,32.56000000000003,34,1,0,0,1,0,21,0,0,0,0,19
other,40,0,0,0,94.8,474,5,0,0,32.56000000000003,35,2,0,0,1,0,22,0,0,0,0,19
other,36,0,0,1,0,0,0,0,0,0,40,1,1,0,1,1,23,0,0,0,0,19
other,0,0,0,1,0,0,0,0,0,0,36,1,0,0,1,0,24,1,0,0,0,19
other,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,1,19
other,36,0,0,1,94.8,474,5,0,0,32.56000000000003,40,6,1,1,1,1,23,0,0,0,0,19
other,34,0,0,8,0,0,0,0,0,0,36,1,5,0,1,1,24,0,0,0,0,19
other,35,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,25,0,0,0,0,19
other,40,0,0,0,0,0,0,0,0,0,35,1,0,0,1,0,26,0,0,0,0,19
other,36,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,27,0,0,0,0,19
other,34,0,0,8,6.0,6,1,0,0,36.62000000000003,36,1,5,1,1,1,24,0,0,0,0,19
other,35,0,0,0,6.0,6,1,0,0,36.62000000000003,34,1,0,0,1,0,25,0,0,0,0,19
other,40,0,0,0,6.0,6,1,0,0,36.62000000000003,35,1,0,0,1,0,26,0,0,0,0,19
other,36,0,0,1,6.0,6,1,0,0,36.62000000000003,40,1,0,0,1,0,27,0,0,0,0,19
other,9,0,0,3,6.0,6,1,0,0,36.62000000000003,36,1,0,0,1,0,28,0,0,0,0,19
other,3,0,0,0,6.0,6,1,0,0,36.62000000000003,9,1,0,0,1,0,29,0,0,0,0,19
other,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,19
other,34,0,0,8,7.0,14,2,0,0,77.90500000000002,36,1,5,2,1,1,24,0,0,0,0,19
other,35,0,0,0,7.0,14,2,0,0,77.90500000000002,34,1,0,0,1,0,25,0,0,0,0,19
other,40,0,0,0,7.0,14,2,0,0,77.90500000000002,35,1,0,0,1,0,26,0,0,0,0,19
other,36,0,0,1,7.0,14,2,0,0,77.90500000000002,40,1,0,0,1,0,27,0,0,0,0,19
other,9,0,0,3,7.0,14,2,0,0,77.90500000000002,36,1,0,0,1,0,28,0,0,0,0,19
other,3,0,0,0,7.0,14,2,0,0,77.90500000000002,9,1,0,0,1,0,29,0,0,0,0,19
other,0,0,0,1,7.0,14,2,0,0,77.90500000000002,3,1,0,0,1,0,30,1,1,0,0,19
other,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,19
other,34,0,0,8,11.0,11,1,0,0,-132.57999999999996,36,1,5,3,1,1,24,0,0,0,0,19
other,35,0,0,0,11.0,11,1,0,0,-132.57999999999996,34,1,0,0,1,0,25,0,0,0,0,19
other,40,0,0,0,11.0,11,1,0,0,-132.57999999999996,35,1,0,0,1,0,26,0,0,0,0,19
other,36,0,0,1,11.0,11,1,0,0,-132.57999999999996,40,1,0,0,1,0,27,0,0,0,0,19
other,9,0,0,3,11.0,11,1,0,0,-132.57999999999996,36,1,0,0,1,0,28,0,0,0,0,19
other,3,0,0,0,11.0,11,1,0,0,-132.57999999999996,9,1,0,0,1,0,29,0,0,0,0,19
other,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,19
other,34,0,0,8,4.0,4,1,0,0,121.22000000000003,36,1,5,4,1,1,24,0,0,0,0,19
other,35,0,0,0,4.0,4,1,0,0,121.22000000000003,34,1,0,0,1,0,25,0,0,0,0,19
other,40,0,0,0,4.0,4,1,0,0,121.22000000000003,35,1,0,0,1,0,26,0,0,0,0,19
other,36,0,0,1,4.0,4,1,0,0,121.22000000000003,40,1,0,0,1,0,27,0,0,0,0,19
other,9,0,0,3,4.0,4,1,0,0,121.22000000000003,36,1,0,0,1,0,28,0,0,0,0,19
other,3,0,0,0,4.0,4,1,0,0,121.22000000000003,9,1,0,0,1,0,29,0,0,0,0,19
other,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,0,0,0,0,19
other,34,0,0,8,0,0,0,0,0,0,36,1,5,5,1,1,24,0,0,0,0,19
