Category,tag,id_name,class_name,all_attributes,text_content,text_content_length,text_content_num_words,text_content_num_digits,text_content_price_format,text_content_difficulty,parent_tag,num_children,num_siblings,position_in_siblings,child_tags,sibling_tags,dom_distance_from_root,has_href,href_domain,is_image,image_src,Selector
title,0,0,5,4,6.5,13,2,0,0,35.60500000000002,5,0,2,1,0,1,10,1,0,0,0,0
title,0,0,5,4,9.0,9,1,0,0,-47.97999999999996,5,0,3,1,0,2,10,1,0,0,0,12
title,0,0,5,3,6.5,13,2,0,0,77.90500000000002,5,0,3,1,0,2,10,1,0,0,0,15
title,0,0,5,3,6.666666666666667,20,3,0,0,34.59000000000003,5,0,3,1,0,2,10,1,0,0,0,18
title,0,0,5,3,10.0,10,1,0,0,-132.57999999999996,5,0,3,1,0,2,10,1,0,0,0,21
title,0,0,5,3,6.0,42,7,0,0,66.7871428571429,5,0,3,1,0,2,10,1,0,0,0,24
title,0,0,5,4,5.666666666666667,17,3,0,0,62.79000000000002,5,0,3,1,0,2,10,1,0,0,0,27
title,0,0,5,3,6.5,26,4,0,0,54.72500000000002,5,0,3,1,0,2,10,1,0,0,0,30
title,0,0,5,4,5.2,52,10,0,0,103.54,5,0,3,1,0,2,10,1,0,0,0,33
title,0,0,5,4,4.0,16,4,0,0,97.025,5,0,3,1,0,2,10,1,0,0,0,3
title,0,0,5,4,6.0,24,4,0,0,90.99000000000004,5,0,3,1,0,2,10,1,0,0,0,6
title,0,0,5,3,4.6,23,5,0,0,117.16000000000003,5,0,3,1,0,2,10,1,0,0,0,9
price,32,0,0,1,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,22
price,32,0,0,1,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,1
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,13
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,16
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,19
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,25
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,34
price,32,0,0,1,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,31
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,28
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,4
price,32,0,0,1,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,7
price,32,0,0,0,3.0,6,2,3,0,120.20500000000001,5,0,0,0,0,0,13,0,0,0,0,10
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,5
image,19,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,2
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,14
image,19,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,17
image,19,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,20
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,23
image,19,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,26
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,29
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,32
image,19,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,8
image,19,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,1,11
other,17,0,1,2,103.02140869192893,481213,4671,470,0,3.3317603865947376,41,2,0,0,2,0,0,0,0,0,0,35
other,38,0,0,0,8.0,48,6,2,0,32.56000000000003,14,0,32,7,0,4,2,0,0,0,0,35
other,3,1,0,3,108.84576773899155,477071,4383,296,0,-2.1382409216271867,17,26,1,1,7,1,1,0,0,0,0,35
other,5,1,1,2,167.2,4180,25,4,0,34.42500000000004,3,2,25,3,1,7,2,0,0,0,0,35
other,5,0,4,1,82.54545454545455,908,11,0,0,49.54272727272729,5,1,1,0,1,1,3,0,0,0,0,35
other,5,0,3,1,82.54545454545455,908,11,0,0,49.54272727272729,5,2,0,0,1,0,4,0,0,0,0,35
other,40,0,0,0,74.14285714285714,519,7,0,0,78.87285714285717,5,5,1,0,1,1,5,0,0,0,0,35
other,22,0,0,0,2.5,5,2,0,0,120.20500000000001,40,1,4,0,1,1,6,0,0,0,0,35
other,0,0,0,2,2.5,5,2,0,0,120.20500000000001,22,0,0,0,0,0,7,1,0,0,0,35
other,22,0,0,0,6.5,13,2,0,0,77.90500000000002,40,1,4,1,1,1,6,0,0,0,0,35
other,0,0,0,2,6.5,13,2,0,0,77.90500000000002,22,0,0,0,0,0,7,1,0,0,0,35
other,22,0,0,0,8.0,8,1,0,0,-47.97999999999996,40,1,4,2,1,1,6,0,0,0,0,35
other,0,0,0,2,8.0,8,1,0,0,-47.97999999999996,22,0,0,0,0,0,7,1,0,0,0,35
other,22,0,0,0,4.0,4,1,0,0,121.22000000000003,40,1,4,3,1,1,6,0,0,0,0,35
other,0,0,0,3,4.0,4,1,0,0,121.22000000000003,22,0,0,0,0,0,7,1,1,0,0,35
other,22,0,0,0,5.0,5,1,0,0,121.22000000000003,40,1,4,4,1,1,6,0,0,0,0,35
other,0,0,0,2,5.0,5,1,0,0,121.22000000000003,22,0,0,0,0,0,7,1,0,0,0,35
other,40,0,0,0,45.25,181,4,0,0,12.425000000000011,5,2,1,1,1,1,5,0,0,0,0,35
other,22,0,0,0,6.0,12,2,0,0,35.60500000000002,40,1,1,0,1,1,6,0,0,0,0,35
other,0,0,0,3,6.0,12,2,0,0,35.60500000000002,22,1,0,0,1,0,7,1,0,0,0,35
